property_name,society,bedRoom,bathroom,balcony,additionalRoom,facing,agePossession,sector,price in crore,SuperBuildUp_adjusted_area,adjusted_price_per_sqft,Others,Pooja Room,Servant Room,Store Room,Study Room,unavailable,floor,furnish_score,furnish_category,features_score,features_category,rating_sum
3 BHK Flat,Whiteland Blissville,3.0,3.0,2,unavailable,unavailable,unknown,Sector 76 Gurgaon,1.92,2388.571428571429,8038.277511961722,0,0,0,0,0,1,2.0,28.0,Medium,0.0,Minimal,0.0
3 BHK Flat,MRG Skyline,3.0,2.0,2,unavailable,East,unknown,Sector 106 Gurgaon,1.82,1941.4285714285716,9374.540103016923,0,1,1,0,0,0,4.0,28.0,Medium,0.0,Minimal,0.0
2 BHK Flat,Adani Aangan Arcade,2.0,2.0,1,unavailable,unavailable,new,Sector 89 A Gurgaon,0.5,960.0000000000001,5208.333333333333,0,0,0,0,0,1,4.0,37.5,Fancy,17.5,Basic,0.0
1 BHK Flat,Adani Aangan Galleria,1.0,1.0,1,unavailable,unavailable,newly built,Sector 89 A Gurgaon,0.25,714.2857142857143,3499.9999999999995,1,1,0,0,1,0,6.0,-1.0,Unavailable,18.5,Basic,0.0
4 BHK Flat,Sare Green Parc 2,4.0,3.0,3,"Study Room,Servant Room",unavailable,under construction,Sector 92 Gurgaon,1.07,2244.0,4768.270944741533,0,1,0,0,0,0,10.0,-1.0,Unavailable,22.5,Good,20.0
2 BHK Flat,Shree Vardhman Flora38 ,2.0,3.0,2,unavailable,unavailable,unknown,Sector 90 Gurgaon,0.8,1485.0000000000002,5387.205387205387,0,0,0,0,0,1,0.0,28.0,Medium,0.0,Minimal,25.0
1 BHK Flat,Spectrum Centre,1.0,1.0,No,unavailable,unavailable,unknown,Sector 82A Gurgaon,0.62,715.0000000000001,8671.32867132867,0,0,0,0,1,0,6.0,28.0,Medium,0.0,Minimal,20.0
2 BHK Flat,Godrej Nature Plus,2.0,2.0,3,unavailable,unavailable,unknown,Sector-33 Sohna,1.25,1978.5714285714287,6317.6895306859205,0,0,0,0,0,1,17.0,-1.0,Unavailable,0.0,Minimal,0.0
2 BHK Flat,Smart World Gems,2.0,2.0,No,unavailable,unavailable,unknown,Sector 89 Gurgaon,0.88,1213.3000000000002,7252.946509519491,0,0,0,0,0,1,2.0,28.0,Medium,0.0,Minimal,20.0
2 BHK Flat,Vatika India Next41 ,2.0,2.0,3,unavailable,unavailable,unknown,Sector 82 Gurgaon,0.8,1778.5714285714287,4497.991967871486,0,0,0,0,0,1,9.0,-1.0,Unavailable,0.0,Minimal,24.5
2 BHK Flat,Godrej Nature Plus,2.0,2.0,2,unavailable,North,unknown,Sector-33 Sohna,1.1,1971.4285714285716,5579.710144927536,0,0,0,0,0,1,14.0,28.0,Medium,0.0,Minimal,0.0
